Gene Symbol,mouse_gene,direction in Sgp130,IL6R+/-,Human1/Human2
ABHD5,Abhd5,down,Both,Both
AGPAT4,Agpat4,down,Both,Both
ALCAM,Alcam,down,Both,Both
ALOX5AP,Alox5ap,down,Both,Both
ANXA4,Anxa4,down,Both,Both
APP,App,down,Both,Both
ARL8B,Arl8b,down,Both,Both
ARRDC4,Arrdc4,down,Both,Both
ATP1B3,Atp1b3,down,Both,Both
ATP6V1C1,Atp6v1c1,down,Both,Both
B3GNT2,B3gnt2,down,Both,Both
BCL2L1,Bcl2l1,down,Both,Both
BST1,Bst1,down,Both,Both
BTG3,Btg3,down,Both,Both
CD300LF,Cd300lf,down,Both,Both
CD44,Cd44,down,Both,Both
CHST11,Chst11,down,Both,Both
CISH,Cish,down,Both,Both
CNIH4,Cnih4,down,Both,Both
COX7A2,Cox7a2,down,Both,Both
CRELD2,Creld2,down,Both,Both
CTSD,Ctsd,down,Both,Both
DHRS3,Dhrs3,down,Both,Both
DSTN,Dstn,down,Both,Both
EMP1,Emp1,down,Both,Both
FABP5,Fabp5,down,Both,Both
FLOT1,Flot1,down,Both,Both
FMNL2,Fmnl2,down,Both,Both
FN1,Fn1,down,Both,Both
GPNMB,Gpnmb,down,Both,Both
GRAMD1B,Gramd1b,down,Both,Both
HCFC1R1,Hcfc1r1,down,Both,Both
HDLBP,Hdlbp,down,Both,Both
HK2,Hk2,down,Both,Both
HSPA9,Hspa9,down,Both,Both
IL7R,Il7r,down,Both,Both
IMMT,Immt,down,Both,Both
INHBA,Inhba,down,Both,Both
ITGAM,Itgam,down,Both,Both
LGALS3,Lgals3,down,Both,Both
LHFPL2,Lhfpl2,down,Both,Both
LRP10,Lrp10,down,Both,Both
LRPAP1,Lrpap1,down,Both,Both
MITF,Mitf,down,Both,Both
MS4A4A,Ms4a4a,down,Both,Both
MTHFD1L,Mthfd1l,down,Both,Both
NFIL3,Nfil3,down,Both,Both
NINJ1,Ninj1,down,Both,Both
PDIA4,Pdia4,down,Both,Both
PFKP,Pfkp,down,Both,Both
PKM,Pkm,down,Both,Both
PLEC,Plec,down,Both,Both
PLIN2,Plin2,down,Both,Both
PTPN12,Ptpn12,down,Both,Both
RHOQ,Rhoq,down,Both,Both
RIT1,Rit1,down,Both,Both
S100A10,S100a10,down,Both,Both
SLC2A1,Slc2a1,down,Both,Both
SLC35B1,Slc35b1,down,Both,Both
SMOX,Smox,down,Both,Both
SPP1,Spp1,down,Both,Both
STT3B,Stt3b,down,Both,Both
TFEC,Tfec,down,Both,Both
TMEM30A,Tmem30a,down,Both,Both
TRPV2,Trpv2,down,Both,Both
UGP2,Ugp2,down,Both,Both
UPP1,Upp1,down,Both,Both
USF2,Usf2,down,Both,Both
VDAC1,Vdac1,down,Both,Both
VDR,Vdr,down,Both,Both
VEGFA,Vegfa,down,Both,Both
VPS37A,Vps37a,down,Both,Both
WDR45B,Wdr45b,down,Both,Both
YIPF5,Yipf5,down,Both,Both
ZMIZ1,Zmiz1,down,Both,Both
ACTB,Actb,up,Both,Both
AIF1,Aif1,up,Both,Both
CD302,Cd302,up,Both,Both
CTSS,Ctss,up,Both,Both
CX3CR1,Cx3cr1,up,Both,Both
HNRNPA2B1,Hnrnpa2b1,up,Both,Both
IFITM2,Ifitm2,up,Both,Both
LIMD2,Limd2,up,Both,Both
PTMA,Ptma,up,Both,Both
