term_id,db,pathway_id,pathway_name,description,pathway_size,overlap_size,Process_primary,Process_all,Generic_parent_flag,is_Metabolism,is_ECM_Remodeling_Adhesion,is_Angiogenesis_Vascular_Hemostasis,is_Immune_Checkpoint_Tcell_Regulation,is_Innate_Immunity_Myeloid_Phagocyte,is_Apoptosis_Survival,is_Stress_Response_DNA_Damage_Autophagy,is_Cell_Cycle_DNA_Replication,is_Cytokine_JAK_STAT_Signaling,is_Oncogenic_GrowthFactor_Signaling,is_Other_Mixed_or_Generic
REACTOME:R-HSA-109581,REACTOME,R-HSA-109581,Apoptosis,R-HSA-109581,168,12,Apoptosis_Survival,Apoptosis_Survival,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-109582,REACTOME,R-HSA-109582,Hemostasis,R-HSA-109582,709,24,Angiogenesis_Vascular_Hemostasis,Angiogenesis_Vascular_Hemostasis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-109606,REACTOME,R-HSA-109606,Intrinsic Pathway for Apoptosis,R-HSA-109606,55,3,Apoptosis_Survival,Apoptosis_Survival,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-110313,REACTOME,R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,R-HSA-110313,39,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-111367,REACTOME,R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,R-HSA-111367,10,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-111447,REACTOME,R-HSA-111447,Activation of BAD and translocation to mitochondria,R-HSA-111447,15,2,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-111453,REACTOME,R-HSA-111453,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,R-HSA-111453,9,1,Apoptosis_Survival,Apoptosis_Survival,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
REACTOME:R-HSA-111465,REACTOME,R-HSA-111465,Apoptotic cleavage of cellular proteins,R-HSA-111465,38,4,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-111885,REACTOME,R-HSA-111885,Opioid Signalling,R-HSA-111885,90,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-111931,REACTOME,R-HSA-111931,PKA-mediated phosphorylation of CREB,R-HSA-111931,20,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-111932,REACTOME,R-HSA-111932,CaMK IV-mediated phosphorylation of CREB,R-HSA-111932,10,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-111933,REACTOME,R-HSA-111933,Calmodulin induced events,R-HSA-111933,35,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-111957,REACTOME,R-HSA-111957,Cam-PDE 1 activation,R-HSA-111957,4,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-111996,REACTOME,R-HSA-111996,Ca-dependent events,R-HSA-111996,37,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
REACTOME:R-HSA-111997,REACTOME,R-HSA-111997,CaM pathway,R-HSA-111997,35,1,Other_Mixed_or_Generic,Other_Mixed_or_Generic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
