"","CD8 T cell","CD4 T cell","NK cell","Monocyte","Macrophage","Treg","cDC2","B cell","GD T cell","CD45-","cDC1","pDC","Mast cell"
"MHC-II",0.223056647498153,0.484428006410167,0.0432383419334037,0.605535726134312,0.917358741463131,0.563022757107289,0.921808323085735,0.326106248259137,0.198062860488006,0.480047095009613,0.821834164977275,1,0.0353053207603611
"MHC-I",1,0.026954949353792,0.537538153478317,0.0542783046124654,0.0485761818549946,NA,0.0453239063791639,NA,0.388177015069718,NA,NA,0.0527760297807929,NA
"GALECTIN",0.794119366118688,0.745013408994745,0.677142233107852,0.807188717764947,0.87783577786512,0.714221432779353,1,0.688144389929357,0.868978431819312,0.189999047587158,0.965484503522733,0.695553752414993,0.668894365274322
"ICAM",0.44276978613233,0.288767099879309,0.653480079783974,1,0.866669162097843,0.291479097667776,0.387199461291683,4.70783460544768e-05,0.468970724259195,NA,0.527942426561286,0.192312776789349,0.103921312876881
"ADGRE",0.759024290258559,0.741043630234862,0.967024320296916,0.61716287280445,0.328487315957162,0.00726956363957326,0.292558760177228,0.00691090095769076,1,NA,0.00570588355697162,0.445340060971717,0.414982453827041
"CLEC",0.70429658582126,0.61707168094147,0.97999825319905,NA,0.00405517514801737,0.00620392556600394,NA,NA,1,NA,NA,NA,0.967857571179187
"CD99",0.449107138962971,0.446786434984463,0.442671098438599,1,0.902284481661967,NA,0.393239651671075,NA,0.450745349098334,NA,NA,NA,NA
"MIF",0.782897042224686,0.836070785364327,0.210879079778628,0.431852470971682,0.133992745563467,0.476613978535216,0.176956597474407,0.238970983579628,1,NA,NA,NA,0.496117597599477
"CCL",1,0.236393623652459,0.91024133155811,0.0302112559967718,0.357985991948373,0.118384761229479,0.0236415103756811,0.0121461989828902,0.944037786480123,0.000752269185901997,0.00287615354540595,0.0114436628696487,0.00485239810048802
"APP",0.509724339343304,0.497188107796817,0.615757086940382,0.601828481647426,0.532062394550264,0.546603065202756,0.446981513949797,0.504112530336107,0.509203593694868,0.333220151443365,0.577294046257142,1,0.494907556735481
"IL2",0.918026699010894,0.865125545172182,0.787854435757401,NA,0.0123824644165149,0.929772799140122,0.0130217252867185,0.0129119079282939,1,NA,NA,NA,0.6848047699511
"ANNEXIN",NA,NA,NA,1,0.726358170219539,NA,0.383895483544199,NA,NA,NA,NA,NA,NA
"VISFATIN",0.0898279936522175,0.345832770055694,0.376514328511914,0.879956902819491,0.819486040185532,0.750509199916189,0.548318053472223,0.25907550992716,NA,0.895324688716029,0.979363984562908,NA,1
"SELPLG",0.0702436307490391,0.0749982194559212,0.0759392859779466,0.282230083207218,0.18516990726512,0.316793123900043,0.222417153857217,0.222978866584427,0.0596085554174099,NA,0.739550752238888,1,NA
"CypA",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAMININ",0.332529665381503,0.595729894755131,0.36118087118493,0.57938048018662,0.784931971220116,0.827671773936363,0.556575031724315,0.438438512308122,0.362145237725223,0.570087500529867,0.837532461885728,0.217281855976224,1
"CXCL",0.8893993921744,0.682187089936223,0.264417567921161,0.0002481078834469,0.000241525470151211,0.368008443743436,0.000229809775424091,0.000194293738708454,1,0.000252535151864413,0.090585818860831,0.414163206969801,0.17718399378891
"TGFb",0.0942743425867743,0.16599998367614,0.281385541530058,0.353839456038734,0.442139659990083,0.0429695824076562,0.154429700334376,0.0506151386173859,0.0462921138676708,0.43145165070669,0.288787902606275,1,0.0492189518054797
"LT",0.240344718359907,0.0673666755012171,0.275459639221388,0.846301956325139,1,0.276941261371125,0.551389202393772,0.142122942605323,0.245923065895336,0.212545258734253,0.475694077272628,0.105397921484259,NA
"IL4",0.207666611444391,0.221835992931189,0.190715681051951,0.333068438967187,0.843053065286856,0.133224852108021,1,0.0507340129379865,0.139031723682337,0.0302324958091475,0.112550517600743,0.183181270385972,0.62142186391624
"MK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESISTIN",0.724961467838966,0.716878533963019,0.721883190597914,1,0.898033596054772,0.676146452504415,0.821508359337037,0.585010170127896,0.738985541528433,0.236361986338294,0.794177007988453,0.643313754768829,0.263281969245467
"CD45",0.00314526084218169,0.00315399232596336,NA,NA,1,0.00344743566633571,0.951449475523717,NA,0.00323999144687224,0.961786454117491,NA,NA,NA
"FN1",0.366577617976465,0.615905921572887,0.491930168879613,0.638607636928587,0.81778278684814,0.858532170821855,0.691018124281084,0.569663563920705,0.446908091632516,0.391791843093322,1,0.208286940053196,0.885935517481603
"COLLAGEN",0.404764781984432,0.676442864663501,0.332629127594862,0.646214878747706,0.782641121721389,0.845608477271143,0.561580835948805,0.612266777449635,0.483280425114166,0.456519765959194,0.769646488897619,0.271409610712231,1
"EGF",0.748698883484735,0.742536227588229,0.679843180885196,0.711861854891702,0.644019097825043,0.716870055562727,0.629377804306811,0.607258317643322,0.75124370314339,1,0.559292032268823,0.630071833430283,0.750276150910985
"THBS",0.243619921168509,0.240235450937616,0.491409762429301,0.525008148592639,0.701244499731131,0.459563175786635,0.44746033789654,0.702444525720838,0.24243339942305,0.487327988474931,0.439490868534955,1,0.216840452093342
"IFN-II",NA,NA,NA,0.960292410107025,0.991626932888346,NA,1,0.305087742023957,NA,0.257976276336137,0.977491206651038,NA,0.181166210264221
"IL16",0.159686949008075,0.474812189425312,NA,0.600974743845806,0.911745344957445,0.556411474516852,0.916834560192523,0.292247233808941,0.0994995414422802,0.470146501120852,0.809802325701938,1,NA
"VTN",0.0402172307206348,0.193015392356599,0.199892762240652,0.936062048403301,1,0.366526117095394,0.81506474911267,0.166220888719517,0.0274322280365711,0.582650185576875,0.910402096140308,0.176270118046327,0.69528291329329
"BAFF",0.00138718651991197,0.00158536713391917,0.00105387314668111,1,0.871118284002523,0.00184099145510832,0.870334354119436,0.977359355689103,0.00148611351740727,0.0118575032144052,0.288377768740781,0.314409184348453,0.358894731792415
"LAIR1",NA,NA,NA,0.284424641460186,0.616235084239339,NA,0.268953349024976,NA,NA,NA,NA,1,NA
