"","CD8 T cell","CD4 T cell","NK cell","Monocyte","Macrophage","Treg","cDC2","B cell","GD T cell","CD45-","cDC1","pDC","Mast cell"
"MHC-II",0.155049541894572,0.494886960901734,0.0142469930093302,0.632890238452889,0.87003189531702,0.92775311928587,0.928129982945319,0.223128358352838,0.0138395597984945,0.00657918738811268,0.566048834449717,1,0.132940292919394
"MHC-I",1,0.0308825951600443,0.517472945087239,0.0494457506825355,0.0423368209300246,0.00604188446244006,0.0435387992311412,0.0241272364823716,0.368662679535806,NA,NA,0.0514494481759442,0.018229129003442
"GALECTIN",0.717722301548462,0.721655157396561,0.78294783841719,0.870988237726428,0.951744669885908,0.778704599788817,1,0.671526299881554,0.73035978039533,0.306653394490962,0.968380797639386,0.548431126964758,0.812237841195639
"ICAM",0.52968309143234,0.259986402958972,0.720808124576808,0.839640841131539,1,0.313967905672546,0.716921825735053,0.0965617616762069,0.313080946568066,NA,0.683052148440016,0.334809704787203,0.164139373927796
"ADGRE",0.945414480406947,0.791426132187983,0.978033019010242,0.534592459305237,0.311253636743345,0.216568093163282,0.397616364133497,0.350604544742079,1,0.0209364494125411,0.0269200006431503,0.23453416137585,0.472378672245766
"CLEC",0.24049453244337,0.235672411661422,0.952910242062413,NA,NA,0.20608441316317,NA,NA,1,NA,NA,NA,0.173101192967692
"CD99",0.474131679054824,0.474174847697988,0.473740435902912,1,0.878088369517619,NA,0.397842715809733,NA,0.480071181693575,NA,NA,NA,NA
"MIF",0.984645387785057,0.972235433570923,0.507854826583232,0.142293818080634,0.00324602395353294,0.335711483292461,0.00668420529901967,0.284466012857835,1,NA,0.0016255710063751,NA,0.132696308625674
"CCL",0.916035070465944,0.586823348204606,0.937084263995116,0.120403567151455,0.389854728244207,0.301760686779004,0.0799713473537455,0.0852563409536355,1,2.42874638593372e-05,0.0549331689806656,0.0756032808987557,0.0484502087398123
"APP",0.471610829039014,0.536531216776197,0.567609471795904,0.556259041278125,0.856210823490453,0.431749736218775,0.629352988314072,0.473221786537813,0.477496828597466,0.42074320735205,0.535554120178892,1,0.427090316034965
"IL2",0.723500545214717,0.781333585276166,0.842219907485718,NA,0.123535666153509,1,0.148651292642948,0.0131872331486898,0.767250823099582,NA,NA,0.0536666923638705,0.0563436073478761
"ANNEXIN",NA,NA,NA,0.994481842742704,1,NA,0.762837306988344,NA,NA,NA,NA,NA,NA
"VISFATIN",0.170825704739429,0.322093193556167,0.188690318290913,1,0.950956455982872,0.433568105760631,0.638590273789427,0.149014596381483,NA,0.328208107608448,0.347126897338448,0.0644211831565756,0.161000636458307
"SELPLG",0.0774177483740671,0.0761042449875363,0.0797246204721027,0.251261051702075,0.0396758663481927,0.438470440968465,0.508189493774454,0.234400227707974,0.234587098627097,NA,0.650934309328138,1,NA
"CypA",NA,NA,0.973712644201513,0.318560000311324,0.791405825154382,0.483317272091549,NA,0.318805607792464,0.708969294170333,1,NA,NA,NA
"LAMININ",0.576761868625457,0.770662472789375,0.518773937053656,0.930288911579774,0.945524265415435,0.861201217163533,0.80691040963454,0.459206597889326,0.383130762483595,1,0.703676301713679,0.2497448788068,0.561107815248066
"CXCL",0.867332976867133,0.441864821322456,0.322082462186727,0.000413862018936395,0.000386771928870344,0.631223256251841,0.000391422753736134,0.151875783281667,1,0.000396617801024453,0.082141799126427,0.474019319459933,0.000331042608040122
"TGFb",0.254535742327602,0.283564045888473,0.294865280753325,0.470161457049088,1,0.0081259081523522,0.52963596059958,0.0464393792495518,0.0670525215069594,0.23489818544565,0.349353063474501,0.646010422510311,0.00906848713227685
