"","C1q Macrophage","Spp1 Macrophage","Angio Macrophage","Monocyte","Inflammatory Mono","cDC1","cDC2","pDC","MDSC","B cell","Naive T cell","CD4 T cell","Treg","CD8 T cell","Gd T cell","NK cell","Tumour","Tumour.p","Fibroblast","Endothelial"
"COLLAGEN",0.796839773115564,1,0.80017847588376,0.472763386199944,0.686180017156762,0.297956015475746,0.373704252217573,0.721825623941749,0.450110030724791,0.0185528678023302,NA,0.311827518956578,0.416292911755863,0.0201486028341584,0.0365952133977401,0.580452539826699,0.795767913474014,0.796392717693723,0.836309179795043,0.785722827028638
"MHC-I",0.178061150867255,0.157497240035395,0.146301133065699,0.163885872349486,0.178664977342775,0.180957665890811,0.189147246693239,0.546724065520633,0.13025749349112,0.188043433892783,0.348316160136838,0.200459450731565,0.210682656240903,1,0.690032880935593,0.221978753310897,0.00923281083611481,0.00687606629121801,0.159160809738165,0.150504788328313
"CCL",0.449090408482653,1,0.823791695735402,0.842648715523956,0.934131687144086,0.149430789743359,0.408190345288559,0.150478519675027,0.497032241342005,NA,NA,0.0908712707921156,NA,0.0633551858542435,NA,0.48807202093337,NA,NA,NA,NA
"FN1",0.529349635126982,1,0.635144922781503,0.58830436261096,0.643603086416127,0.52474070585537,0.501038927267217,0.874669667528915,0.342100174103774,NA,0.0893673884276805,0.340512184190214,0.84984193681098,0.456653353836391,0.513687206995901,0.518199456376315,0.695568896588531,0.760810308723728,0.47634351276811,0.254372423253331
"THBS",0.608284809026255,0.95372056871089,0.840919252361333,0.465113720294762,0.781730823188711,0.524186205579563,0.489907927646726,0.998988655435756,0.420635377831457,0.354741525432899,0.373235046545898,0.319604333104223,0.583278542964599,0.423317497364365,0.411001155323474,0.458169114163303,0.824545473174509,0.851984851986597,1,0.678838648285837
"APP",1,0.694159081028806,0.744664577944166,0.778177825685999,0.734666502714046,0.600261348298439,0.590926372509382,0.617837120637587,0.579482273385383,0.74215161446379,NA,NA,0.340323603227731,0.129138493937841,0.331807871798921,0.116185356175493,NA,NA,NA,NA
"MIF",0.744597679206008,0.614803029129691,1,0.664389504927152,0.647234424436146,0.69544006340235,0.704839155021784,0.980755584059549,0.707441030209,0.803325103624489,NA,NA,0.380936433747999,NA,NA,NA,NA,NA,NA,NA
"SPP1",0.852106088519415,1,0.53464699591638,0.722059598292685,0.59575036363034,0.599465396358306,0.580918984619099,0.826979330028067,0.475794332841559,NA,NA,0.301009490272418,0.662796258202767,0.74352257935847,0.448332626055478,0.55808553616226,0.706796593153512,0.642561770790679,0.130827446077046,0.499487107424309
"LAMININ",0.578445322100307,0.507421890039748,0.387352022302534,0.385348477483778,0.382219091370289,0.236001776291108,0.249816864876601,0.393155818509339,0.410853444817843,0.027245001875489,NA,0.23813400115048,0.303848544027152,0.0297145338950122,0.145255550333945,0.458564191957062,0.365705431464157,0.57726673848622,0.418432584596094,1
"GALECTIN",0.714463570278774,0.891115775991353,0.938260557072049,0.870155864562397,0.775072309249604,0.729524288033426,0.578653620557172,1,0.746102494771663,0.714240357164532,0.418366357696431,0.464252447559638,0.54750414495821,0.434734123807581,0.44238586057619,0.457325337087374,0.316577510550524,0.325774994303589,0.35035696366832,0.0761621129338007
