"","C1q Macrophage","Spp1 Macrophage","Angio Macrophage","Monocyte","Inflammatory Mono","cDC1","cDC2","pDC","MDSC","B cell","Naive T cell","CD4 T cell","Treg","CD8 T cell","Gd T cell","NK cell","Tumour","Tumour.p","Fibroblast","Endothelial"
"COLLAGEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.595934365265628,0.565836714811963,1,0.462477514829343
"MHC-I",0.408387740773136,0.358075044452249,0.325064594889125,0.372853959938775,0.478740849771288,0.473662992007789,0.571757839787736,1,0.330746154466308,0.636452228872482,0.631928442422208,0.86662978059122,0.988675148324445,0.982225820875069,0.991626260547452,0.822745096505673,0.153731256392909,0.138439333120673,0.462847886258332,0.339581043339947
"CCL",0.697255900594394,0.873052895698419,0.62112510334056,0.519551507641921,1,0.188949601194881,0.334684490123241,0.101982521184788,0.4311060899564,NA,NA,NA,0.212738074415425,0.408062196009958,0.319433764892709,0.450123373833163,0.368251594582504,0.289346234170476,0.0227331602480332,NA
"FN1",0.087307625341105,0.996114992621196,0.781523354152207,0.531043797431552,0.525194852310987,0.0591969397384543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.652156125481107,0.978232867461403,0.0592044334915144
"THBS",0.656733663144617,1,0.959165564164722,0.9086082832777,0.951930922705822,0.270459633168208,0.22395066845708,NA,0.305859088066505,NA,NA,NA,NA,NA,NA,NA,0.181067562047514,0.116517087339246,0.00246352281871523,NA
"APP",0.722026238163789,0.973668390686119,0.948881300359158,0.892008702373095,0.89159028752591,0.52848474701761,0.676301132092207,0.154277145338118,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.718155135966738,0.626099272260457
"MIF",0.657157148742889,0.897266019807165,1,0.769910244678013,0.902316212902905,0.651832728005588,0.818699154756116,0.448854104779324,0.768881912466865,0.0445012322218122,0.0386361603808219,0.0458900322166901,0.634605508438967,0.599804803995485,0.047532454012742,NA,0.826284440307771,0.88966631279065,0.903368752970501,0.739185617019071
"SPP1",0.0805884172368462,0.765417384375342,0.601601443778657,0.0729866893753762,0.351631289036455,0.0809866749332666,0.0596893525504217,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8586807214792,0.0726244926110251,0.0278454305680306
"LAMININ",3.99720075411351e-05,0.0288894920587483,0.0454450813566976,5.64961413812792e-05,0.00013139840988895,1.06995319548668e-05,2.96215535154597e-05,2.21055929222067e-05,0.117655301796306,0.0350850254539657,9.75368375210136e-06,1.96023773875649e-05,0.12183201993304,0.126657089381865,4.61782700464661e-06,0.0945084024393438,0.170657455717353,0.428004623471525,0.423810360226027,1
"GALECTIN",0.220948168415604,0.275561558522013,0.271417071969134,0.234646334995853,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0823821331845061,0.165942700150511,0.840796544590812,0.219676993722233,0.158721362794312,0.212662250257944,0.339244641045102
