"","C1q Macrophage","Spp1 Macrophage","Angio Macrophage","Monocyte","Inflammatory Mono","cDC1","cDC2","pDC","MDSC","B cell","Naive T cell","CD4 T cell","Treg","CD8 T cell","Gd T cell","NK cell","Tumour","Tumour.p","Fibroblast","Endothelial"
"COLLAGEN",0.895266505118507,1,0.780027779057262,0.463760049515943,0.836784484472308,0.266626288414371,0.375284015603497,0.67445096519505,0.48822961220542,NA,NA,0.0470144669809487,0.27742934610789,0.231690549573772,0.254734473723202,0.0371431910790702,0.804279580658994,0.752865118468426,0.615446917466546,0.423807455137504
"CCL",0.579825081501103,1,0.80169099265592,0.866340600471661,0.851635737895476,0.139243812970984,0.627315506926599,0.131011436854118,0.591304641566272,NA,NA,0.0314305728341164,0.170966851751669,0.0635065740026396,0.0684195805982381,0.189542227066375,NA,NA,NA,NA
"MHC-I",0.170839332525005,0.147823054847614,0.141469220498372,0.152693318984811,0.167576705813369,0.16288719391432,0.170892716001705,0.66760165332219,0.0732179422168538,0.179365363261101,0.378815349739648,0.19971770949469,0.199924702904164,1,0.279444338558679,0.2356329535405,0.00987890442687901,0.00901808637160155,0.041960124571951,0.155820229161367
"FN1",0.913957672202816,1,0.690762923757269,0.727576599796472,0.64426302653711,0.498465997774926,0.791344910888232,0.961034639858517,0.413350454004016,NA,NA,0.167789866068715,0.49478005136583,0.541525900980365,0.267651336501825,0.574484610873811,0.86720744583116,0.831984340270767,0.724396264477024,0.146411455559609
"SPP1",1,0.614032938458348,0.372345989406947,0.496667749174317,0.362670760530548,0.208919285342401,0.520248082916806,0.503501224718304,0.31246512311298,NA,NA,0.0649937407194413,NA,0.439011213426549,0.131119522120184,0.281109024170794,0.510904565686598,0.462015515850213,0.354746180996825,0.29941875169678
"MIF",0.691077257229574,0.565259863491559,0.844961453275225,0.581672750300485,0.581295027190263,0.57378879688476,0.690855183694469,1,NA,NA,NA,NA,0.382389992536927,NA,NA,NA,NA,NA,NA,NA
"APP",1,0.767866944405362,0.694294212210363,0.850304184576119,0.727820466441535,0.571511774451163,0.676001030967731,0.636299207708514,0.445313977082242,0.757608696711385,NA,0.14918144409721,0.228313992623123,0.116885280067758,0.134847208908571,NA,NA,NA,NA,NA
"GALECTIN",0.811810417677073,0.911572971589209,0.936515662691198,1,0.882282193988675,0.80037532159027,0.714783104608671,0.968885601146849,0.788050389365994,0.635170318409952,0.417086015271624,0.361217654790318,0.48922188222061,0.535272620250843,0.563002733374456,0.452702604398746,0.362134321126379,0.310422850333731,0.337876054023861,0.140738766366725
"THBS",0.690756057641189,1,0.862995756318989,0.556520192824377,0.873891468102657,0.765486125547924,0.573565510811152,0.865459417202553,0.200483956278408,0.181518079645158,0.390962045788949,0.394866284204406,0.381780543225736,0.367321773536515,0.371419252970477,0.488451625551385,0.872118555024187,0.846857604018169,0.811736072536797,0.433780968458848
"LAMININ",1,0.730758264137713,0.549241959984587,0.554403613187914,0.687988711374149,0.214988701384168,0.429613263182869,0.632730275058183,0.641740114688434,NA,NA,0.0359161877036361,0.319707220385497,0.200993437174909,0.222031643102509,0.0350990272133873,0.690381031102908,0.639148435972516,0.283775358606303,0.916819945644404
