"","C1q Macrophage","Spp1 Macrophage","Angio Macrophage","Monocyte","Inflammatory Mono","cDC1","cDC2","pDC","MDSC","B cell","Naive T cell","CD4 T cell","Treg","CD8 T cell","Gd T cell","NK cell","Tumour","Tumour.p","Fibroblast","Endothelial"
"COLLAGEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.761873729629917,0.617434388857092,1,0.567945265795369
"CCL",0.587712701569176,1,0.699295899887283,0.522492303228343,0.93611834095066,0.0378815734765895,0.217070859063445,0.178563691275427,0.592836899459603,NA,NA,NA,0.334525699267174,0.480608671135375,0.3973375146531,0.551264343737141,0.384296597413688,0.38313697078382,0.367223556692231,0.0291291816564412
"MHC-I",0.453896241145486,0.327377707490485,0.319783291313034,0.339762892432228,0.493128618442699,0.598500054109745,0.604825040977258,0.98757946957531,0.25725895276711,0.498254859367924,0.651225530957267,0.650852997301102,0.795913230766741,1,0.89127311812559,0.902088026638691,0.149018893510462,0.138968325868308,0.168474414156973,0.579758554931558
"FN1",0.0573250274627233,0.951057694545002,0.646063314603459,0.49891501058829,0.229468542071811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.952860882444393,0.88482236842604,1,0.0607599781666308
"SPP1",0.0454245835988799,0.958998933263579,0.916853370529702,0.0492868102796407,0.508065380715747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.993343600744782,1,0.968022827580054,NA
"MIF",0.829976524813456,0.947993258732607,1,0.778018739386728,0.976745193976903,0.732292160420203,0.88629750838763,0.608740689239406,0.816243055820853,0.265839383570424,0.277427145370385,0.684308168290974,0.702963241192428,0.686534958454327,0.661902968578625,NA,0.868590301747852,0.935366157237798,0.965786429821592,0.830276524854307
"APP",0.738534105791449,0.914116916765394,0.89345375748973,0.844429752679653,0.854533671660555,0.446922640379293,0.585819158424309,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.196109480756569,0.760662893667772
"GALECTIN",0.29343045053494,0.297871915165629,0.330907214101418,0.297960733492804,1,NA,0.16335468318291,0.280773011559434,NA,NA,NA,0.134463623765221,NA,NA,NA,NA,0.180418820955327,NA,NA,0.869702221809805
"THBS",0.229228678279158,1,0.949579155500787,0.882324118331112,0.959199353745811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166733200597041,0.105495822652537,NA,NA
"LAMININ",0.000119596391152959,0.0646749742628042,0.0731628984762033,8.7355869915943e-05,0.000209654899663937,2.81344828767566e-05,4.09252849732281e-05,3.66062317112341e-05,0.184760497609258,2.20954150585419e-05,1.47483616128262e-09,2.08475634656673e-05,0.283303153580188,0.16598896586634,1.29247323101665e-05,1.01185871133196e-05,0.377759999097844,0.205347969754456,0.195176199773987,1
"PTN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.858648010927185,0.969793127001522,1,NA
"ADGRE",0.43507863223503,0.41360174475383,0.254919778824863,0.231681485169021,0.251300412798057,0.244147647699817,NA,NA,NA,0.52078767385128,0.381970967123806,0.397866488176379,0.165643920180759,1,0.489252662985733,NA,0.608781044886468,0.535881040941351,0.457324458247867,0.259510409272555
"MHC-II",0.64083110145076,0.0582117446886935,0.0667520263933576,0.199525571479807,0.0673232865828019,1,0.943102098937638,0.615584076391733,NA,0.826660015363821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD80",0.2198806460983,0.902163496034614,0.280365511336474,0.697973339618925,0.577953520578002,0.518208273801471,1,NA,0.372562860646295,NA,NA,NA,0.229328521917218,NA,NA,NA,NA,NA,NA,NA
"SIRP",0.375233223681248,0.899518673829852,0.463407389440348,1,0.952150236692544,NA,0.0400858676790925,NA,0.615997406450023,NA,NA,NA,NA,NA,NA,NA,0.250299313929602,0.102171966491644,0.0815839271590112,0.446455108758112
"SELPLG",0.20274875182442,0.189081448923871,NA,0.219065526689711,0.224616321576383,0.566062991442703,0.632129276252165,1,0.358830943329261,NA,0.79950720398444,0.310622244089407,0.278711067845317,0.689309883604278,0.777612805835718,0.779299013350143,NA,NA,NA,NA
"CD86",0.693838579978628,0.85124341504204,0.57362147364188,0.843683696275364,0.723384277714168,0.887005996642272,1,NA,NA,0.351535816527678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ICAM",0.32240836786508,NA,NA,NA,NA,0.258589239448747,0.361232689769113,NA,NA,NA,NA,NA,NA,NA,0.505746989013034,0.562774820865221,NA,NA,NA,1
"TGFb",0.261330583030951,0.80580468981377,0.305539813872489,1,0.307270421822836,0.20360962738364,0.230070163432655,NA,NA,NA,NA,NA,NA,0.253379706550537,0.238338671445671,0.853489855278633,0.118252465556158,NA,NA,0.398340679715648
"CD45",0.752833418218698,0.739943836432894,0.74359546865657,0.785432672465414,0.763778984868378,0.750757395648589,0.74809084510978,0.893412052472867,1,0.713887643315475,0.932284024353623,0.916939196942756,0.900668090342805,0.863229894671284,0.958998257368919,0.988690064902708,NA,NA,NA,NA
"VCAM",0.703879722408122,NA,NA,0.396747312916979,NA,0.841255756019939,0.732465454469545,0.818383306062792,NA,NA,NA,0.26108121430887,0.44892902671222,0.498555039642855,0.428402331384617,1,NA,NA,NA,0.314352745241079
"THY1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.394886696889219,0.432941941891501,0.348692583758097,0.944180502149738,1,NA,NA,NA,NA,NA
"ApoE",1,0.621247732860815,0.540427424768336,0.573418484400294,0.601019076539414,NA,NA,NA,NA,0.281764109738618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VISFATIN",0.74021939124449,0.825368894830434,0.927523583350228,0.297212744957781,1,0.679357513228733,0.3051723721112,0.257610599384699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CXCL",0.829977116025279,1,0.539307190052577,0.418361015270777,0.720664875113752,0.351995540295373,0.451139869089071,NA,0.910670826695433,NA,NA,NA,NA,NA,NA,NA,0.380797160005785,0.373991883563341,0.383596870834346,NA
