"","CD8 T cell","CD4 T cell","NK cell","Monocyte","Macrophage","Treg","cDC2","B cell","GD T cell","CD45-","cDC1","pDC","Mast cell"
"MHC-II",0.2707740920658,0.0870319814983867,0.0567385746327695,0.666307514861876,0.87982858235351,0.291267902240085,0.964678355009097,0.686392166890281,0.152504402530067,0.112109430590323,1,0.856088215284474,0.0143016153644528
"MHC-I",1,0.989458374519503,0.962973625153457,0.759604581518687,0.693309179281493,0.788902048788005,0.681902095280437,0.758327637931776,0.991862431397369,0.532883713374062,0.714251139431878,0.605553007161744,0.669559432540112
"GALECTIN",NA,NA,NA,0.886015678500338,0.972646358098102,NA,1,NA,NA,NA,0.980485907281333,0.313248706663958,NA
"ICAM",0.0793269717313737,0.157709059108501,0.646708089672554,1,0.884232406730338,0.156892850171404,0.48631160808865,0.118108996073312,0.214104525374641,0.0783020203720046,0.841538755991665,0.742770844902947,0.187693333827485
"ADGRE",0.00216917073742407,0.384682453106621,0.0247931182847678,0.937376771053753,0.280346137181445,0.0783864659971466,0.713999375618327,0.87430531534353,0.455105074382646,0.266747618993726,0.567757462467104,0.571887736148529,1
"CLEC",1,0.993447476229324,0.802584734455916,NA,0.371801152143188,0.572316701182361,0.206081989529913,0.227706166662689,0.994799370101627,0.165987180418309,0.37418364697111,NA,0.360263137434698
"CD99",0.995952931796059,0.990227351092951,0.980095623926636,0.236082895490878,0.25947565259518,0.29528608336647,0.219250070928007,0.231406872631262,1,0.234222444808131,0.180267766674986,0.2884357817636,0.252928295435896
"MIF",0.803313963993786,1,0.671613837978299,0.223316378594619,NA,0.472454676755551,0.107008071221917,0.475209757645594,0.933152549787363,0.475221349339257,0.10613130542569,0.110173610543012,0.562123763462775
"CCL",0.880646526059742,0.171050317571133,1,0.00178930846432925,0.711272298939192,0.000737593987923411,0.128693173464998,0.00991727546795066,0.825196397332986,0.143124586667084,0.000678295860435198,0.00891441147352236,0.00267089273525962
"APP",0.00538072249614626,0.00527251586870939,0.00495774797846682,0.30598551059381,0.271272913016823,0.00422725867509954,0.28489319853957,0.00467139338066895,0.0362309378942689,0.762799307277997,0.250171275711134,1,0.0427907404333105
"IL2",0.907163971565166,0.941975664714635,1,NA,0.09978816925467,0.919074611866605,0.15871158620349,0.338394569237951,0.979057044601833,NA,NA,0.0176406523601369,0.796406227905486
"ANNEXIN",0.791076947505637,1,0.758441803181104,0.898460356793432,0.814312326870835,0.189659031466122,0.849349030551205,0.0034760709643867,0.988715351526917,0.119892229299344,0.536449553914715,0.0041237856857711,0.983374240096212
"VISFATIN",0.198744908230354,0.243349940613101,NA,1,0.853480874046998,0.540712965042662,0.855834960613322,0.181643333514388,0.251933847753985,0.551264092881873,0.755544980302641,0.18157762676779,0.178480176648421
"SELPLG",0.297518681030456,0.316875615508234,0.320751736047362,0.275485202042874,0.205324849380901,0.31165595924792,0.214929456609039,NA,0.284458963811171,NA,0.874587524915087,1,NA
"CypA",0.998393376022684,1,0.976758094714657,0.93151338015526,0.843113286830204,0.958815539775227,0.861062873964658,0.946649881239762,0.996344853289893,0.947192045462706,NA,0.893911269411654,0.97070889616709
"LAMININ",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"CXCL",0.794550208981033,0.629323340403391,0.458553525867583,0.505256913177636,0.605693122153506,NA,0.616654319912894,NA,1,0.178662506989882,0.78482688007755,0.863623741518422,0.309506279025115
"TGFb",0.493114421566594,0.482954786583586,0.627719938388703,1,0.774840351934598,0.101960946661215,0.339397663217726,0.0774831690292244,0.64372133036958,0.264106350930408,0.27109165306297,0.798717842384122,0.122070860360021
"LT",0.709671870912082,1,NA,0.39291044545544,0.305193658654154,0.979501294321098,0.310256714426782,0.590433503042244,0.73486587129095,0.217057008300803,0.249626395469231,0.464666042746091,0.670593049441666
"IL4",0.38452315604973,0.400074137149317,0.380642828332245,0.263971902480404,0.739681899124035,0.352293024769616,1,0.240900118303408,0.389467872296635,0.140547271427413,0.300391769491628,0.412873441362269,0.54157021808548
"MK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESISTIN",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD45",1,0.991661151682107,0.977557949088569,0.90325350924583,0.801255425091789,0.954479854188712,0.814527211521124,0.691653385617452,0.994571691210126,NA,0.782400281506074,0.627232040433109,0.726440107936123
"FN1",0.0424332176491625,0.055941471275384,0.0609605717796702,0.422382696633809,0.348710992696581,0.149421059790036,0.305364485346353,0.0323502267767051,0.000347441149394316,1,0.318290299151674,0.0176507378087594,0.418575001630493
"COLLAGEN",0.00343020965070756,0.00469350995928836,0.004960179803196,0.0308146924492919,0.0254431292245096,0.0109693866410419,0.0222732868349347,0.00252730956336287,2.31567160896335e-05,1,0.0232244489616644,0.00126117025870994,0.0307845349632313
"EGF",0.0217760538862321,0.101232416553404,0.518165923539303,0.444475041656623,1,0.00256578875333496,0.761023733291887,0.0145858064882728,0.0777614868427837,0.00602506305135387,0.363972403420616,0.633060435423058,0.706895001752404
"THBS",0.00293855534265139,0.00317892223136691,0.00322359475565879,1,0.467093036004706,0.00253605777568708,0.0353553634679505,0.00223600632502982,0.00304711857784411,0.0494489893587572,0.0128629435886286,0.0584030192811554,0.0189529405794866
"IFN-II",0.98097047356922,0.311780972761947,0.781910586114111,0.665918478370318,0.817705605527452,0.0247418167047397,0.81184054595172,0.212221807551029,1,0.211136672989202,0.815615039335953,0.242451258867685,0.273035109121064
"IL16",0.372930999465744,NA,0.450113090964835,NA,0.343402175443145,0.311209494230127,0.938507785410981,0.439662063034602,NA,NA,1,0.389752903734661,NA
"VTN",0.000134124451914455,0.000138747721846151,0.000113996398822604,0.625976375952092,0.544237616232228,0.000129229959168646,0.541400247542543,8.29432398043786e-05,0.000138514971006312,1,0.362697588973988,0.137252205356158,0.163421444952358
"BAFF",0.000280341938550405,0.000330304669299641,0.000206389940610974,1,0.867408902058361,0.000383573279522904,0.868426854077259,0.317955105306819,0.000300337609003675,0.00251696046215119,0.27461397957244,0.306584133542785,0.360748075523348
"LAIR1",NA,NA,NA,0.465845709299267,1,NA,0.39202847465615,NA,NA,NA,NA,0.466676950734401,NA
"SEMA7",NA,NA,NA,0.151929444855494,0.125842200236164,NA,0.151310483545426,NA,NA,NA,0.284332477931646,1,NA
"SPP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PECAM1",NA,NA,NA,1,0.328922648539739,NA,0.289040222001303,0.258711657360048,NA,0.354126028163837,0.321255432899144,0.356243478436483,NA
"BTLA",0.156451302274679,0.138250583377416,0.138876350842798,0.423087341161769,0.426402020644123,0.488356557887725,0.421787213935026,0.492642486480815,0.119432397062187,0.0733848659525417,1,0.0849431173281676,NA
"LIGHT",0.520986010113595,0.339489992378989,0.590436212506687,1,0.913974022362758,0.602107546797434,0.862243360513459,0.851041442986609,0.400725080883746,0.0675989982290714,0.970179077139318,0.0738994265756188,0.0907353240549031
"APRIL",NA,NA,NA,0.520982500439302,1,NA,0.45319087159619,NA,NA,NA,NA,0.465246462896953,NA
"CD6",0.376023051180531,1,NA,NA,0.0729182311147492,0.249078009919444,0.0687371293308457,NA,0.752729452335421,NA,NA,NA,NA
"CD86",0.00547890515221298,0.010880886936088,0.00312898577882859,0.303767305495633,0.773469094334941,0.264511929898861,1,0.0024998950200607,0.00642049692538281,0.00332664400096147,0.740886435311126,0.00282748396832936,0.00352896977697777
"JAM",NA,NA,NA,NA,NA,NA,0.0672181003250706,NA,NA,NA,1,NA,NA
"VEGF",0.0208111161999498,0.0192171687805906,0.017841690915299,0.965325467380202,0.94056957296055,0.102311038297142,0.96842873158887,0.0152003134910697,0.0196507603872632,1,0.0520860291268408,0.40861762491482,0.0236554287910847
"SEMA4",0.881589535436649,0.924077764734445,0.86416822514516,0.00349223804972368,0.824038819559219,0.756696184254768,0.388812792525618,0.00100924838807256,0.950900012252705,0.00853536593266723,1,0.00128166885494604,0.173543697463763
"IL1",0.000157165118046195,0.000160197135783692,0.000153112439399579,0.999809007428445,0.937035231972867,0.000172270057341147,1,0.000196483245282939,0.000167493378061346,0.0678563460291854,0.117177198482888,0.000342979194737718,0.0160032091072398
"TNF",1,NA,NA,NA,0.967992854619824,NA,NA,NA,NA,NA,NA,NA,NA
