"","CD8 T cell","CD4 T cell","NK cell","Monocyte","Macrophage","Treg","cDC2","B cell","GD T cell","CD45-","cDC1","pDC","Mast cell"
"MHC-II",0.319440734336617,0.0221269919010827,0.17691769435497,0.699003605507135,0.769465602402892,0.355874245121565,0.965339354187598,0.71917045712672,0.161705187013516,NA,1,0.847649135968041,0.110326560236273
"MHC-I",0.96893228361797,0.932124568848076,1,0.710644179038272,0.660897923532109,0.775895257930124,0.650821707555869,0.855540863712055,0.975101698796021,0.489874254843068,0.69316971596221,0.668125675493234,0.744156465052896
"GALECTIN",NA,NA,NA,0.836868087922257,0.928533449131538,NA,0.988513678011506,NA,NA,0.260699784046065,1,0.274736405955422,0.260305024207436
"ICAM",0.179664444242496,0.226386336447711,0.665165188301344,0.887065885225771,0.849222267257697,0.214641511029953,0.878037197439755,0.359633799054547,0.305518245271427,0.000508742931111782,1,0.678039457042601,0.700415140751738
"ADGRE",0.00671116569261878,0.62204525517679,0.28935556545176,1,0.801169024237718,0.0462163049437502,0.669142739903431,0.788817798254106,0.798339292868497,0.272235816860205,0.365190149440233,0.501399066150609,0.54922798136944
"CLEC",0.994022753904564,0.726700992322198,0.84737569368812,0.0907693699399665,0.176212057327852,0.623043007305678,0.225125671344747,0.277570525154524,1,NA,0.186937926640041,0.0787410066007693,0.308196900380223
"CD99",0.986094581368027,0.986195440348383,0.985180619873356,0.217061611796201,0.241566553728855,0.269697391027151,0.244116562273518,0.225114492626544,1,0.180672681833477,0.190322228136213,0.272294493619925,0.231436297195814
"MIF",0.741589058114486,0.990071845421488,0.66559659244473,NA,NA,0.554587854881213,NA,0.567911581349389,1,NA,NA,NA,0.569249659629699
"CCL",0.863564039704167,0.338296558000308,1,0.315920371891978,0.355390869635098,0.00177215013190196,0.0334306935006924,0.0194759520589491,0.896117759392202,0.0782321306509718,0.000829395511871892,0.00968361132639169,0.0283353928271434
"APP",0.00792782726531482,0.0229699564409474,0.00913095795643951,0.33028301476446,0.612748626536023,0.0059365018914162,0.290584092979712,0.00646175362391975,0.0247268739862204,0.610919258806063,0.263269391225591,1,0.00947480271213834
"IL2",0.792915401374372,0.801944261852145,0.621101896458756,0.0144725885606987,0.135935192598595,1,0.240176113823347,0.116943599676309,0.883262908107988,NA,0.0144308456560632,0.120407407511188,0.114143932398273
"ANNEXIN",0.785367553543102,0.996076411139589,0.774404277477611,0.87031010812984,0.783203605945706,0.224098936936514,0.8190897496435,0.00349297448342777,1,0.00446087408551607,0.743237730156592,0.00420792530930516,0.964573225267618
"VISFATIN",0.19347685520281,0.207879065540295,NA,1,0.839868584343212,0.663695360944979,0.903586554841626,0.141753970322816,0.148818883818025,0.481754314517534,0.809443145873338,0.141961417755928,0.592064304506065
"SELPLG",0.324409611995742,0.319083033893957,0.333712421312829,0.227569423641126,0.201634240692741,0.739142227948577,0.216882994812312,NA,0.844328928202957,NA,0.661037239490654,1,NA
"CypA",0.98539298802045,0.987998213842213,0.98175248954641,0.542218591069285,NA,0.567004337165129,0.261493191749923,0.702796544858525,1,NA,0.262250007105572,0.401415915726467,0.702940750452093
"LAMININ",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"CXCL",0.769105455527812,0.711126538679231,0.518741648339282,0.332620449135588,0.375218398473265,0.416998155860355,0.404038066377291,0.244386865925676,1,0.0915616704655681,0.552200064408296,0.868642914967169,0.120357917606199
"TGFb",0.615046498710508,0.639505711276053,0.66177156572923,0.878230336360409,1,0.0685947599394966,0.726061900840573,0.181616633933579,0.656919651290705,0.0391795768792729,0.372479967354372,0.868228041854393,0.0747228583098527
"LT",0.531177617843181,1,NA,0.235644127429435,0.249924762950175,0.968668664114876,0.615064022593336,0.654735156641283,0.73072822709839,0.0752631122345144,0.349019053133751,0.351334277883536,0.0751328174308695
"IL4",0.380960737754048,0.394161242292665,0.382505493773241,0.458667608712639,0.784954121362418,0.492792122138666,1,0.358846215079515,0.393729718514017,0.30698471274552,0.367818101173185,0.531132302544786,0.52549602337051
"MK",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"RESISTIN",NA,NA,NA,1,0.39264731541594,NA,NA,NA,NA,NA,NA,NA,NA
"CD45",0.991433958308013,0.984061004554483,0.988765035429916,0.844700309744591,0.764758420060359,0.938015720388599,0.814964322627759,0.731312446250142,1,NA,0.79182780431983,0.656845238732444,0.693339486331717
"FN1",0.00241101272974262,0.0140467403824763,0.00256671779304482,0.394446684921203,1,0.011857968550684,0.181062718453058,0.00188752617655377,0.00217994508140723,0.15639549469039,0.0581995260919916,0.00166349405937417,0.0939108983650054
"COLLAGEN",0.00116462729750388,0.00571385038953798,0.00123987637088482,0.186618316468764,0.480858315891035,0.0041554071155786,0.084611326580335,1,0.00113198598346448,0.741646736701454,0.0237115710513511,0.000863709180354355,0.0414804084145467
"EGF",0.0415767099412157,0.0825612936682635,0.304890624209215,1,0.699019097449525,0.002014526354974,0.969286416716417,0.0365293747366578,0.0866910843462861,0.385706449321851,0.228378961868332,0.362424505177563,0.386081339210583
"THBS",0.00139391782247861,0.00241883264436854,0.00184723777407433,1,0.610977798919555,0.00136686002812338,0.220681589082996,0.000957545448872249,0.00170698866145116,0.204142517199218,0.00822242678165987,0.0533846655598394,0.00170559517393218
"IFN-II",0.899091714113483,0.356847525833402,0.972821033915237,0.829671071245593,0.9376522739364,0.0263771371514005,0.999721330283978,0.24615054667307,1,0.191907827648689,0.978536966312969,0.749128766374794,0.31622256592526
"IL16",NA,NA,0.576700718600473,NA,0.317419991429853,NA,0.396608118227055,0.582574984567322,NA,NA,1,0.433172761781198,NA
"VTN",0.000184183616457054,0.000196847927780557,0.00014888634432697,1,0.954078691612676,0.000160380090254467,0.877352920691575,0.000118356197031299,5.17741537850613e-05,0.152241871783689,0.769781720111783,0.593887763148999,0.721801397742031
"BAFF",0.000321510654381002,0.000383433802330365,0.000237029180505277,1,0.906577098550559,0.00122034553129646,0.993671089942229,0.293741408484618,0.000227899739675882,0.00275614035077349,0.474812303652153,0.320968849302835,0.000633074517262804
"LAIR1",NA,NA,NA,1,0.945163502653032,NA,0.380075307366988,NA,NA,NA,NA,0.438420615118879,0.444303125544393
"SEMA7",NA,NA,NA,NA,0.104842641766962,NA,0.151476329592123,NA,NA,NA,0.695408911009925,1,NA
"SPP1",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"PECAM1",NA,NA,NA,1,0.814351140682415,NA,0.309669033488363,0.344789835742935,NA,NA,0.32975638533422,0.38073062563254,NA
"BTLA",0.12260473784201,0.126483243776951,0.184955784309241,0.22193800111568,0.681099620279616,0.818295274317677,0.621937206240458,0.736192616296241,0.131909355930162,NA,1,0.0353907444765219,0.107732705110462
"LIGHT",0.116204135554403,0.112158496582813,1,0.863842976104498,0.765269337375483,0.161282514669556,0.370217123084147,0.133646285490659,0.156982768807485,0.0271955289929918,0.23217062622451,0.0354172620104709,0.0419316557858125
"APRIL",NA,NA,NA,0.411604341507078,0.982556987397729,NA,0.36429916175749,NA,NA,NA,NA,1,NA
