| Gene   | Manual Classification (Manuscript)   | Reactome IDs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Reactome Primary Process                                                                                                                                                                                                    | Top Reactome Pathways                                                                                                                               |
|:-------|:-------------------------------------|:------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------|
| FN1    | ECM Remodeling & Invasion            | REACTOME:R-HSA-109582, REACTOME:R-HSA-114608, REACTOME:R-HSA-1266738, REACTOME:R-HSA-1280215, REACTOME:R-HSA-1474228, REACTOME:R-HSA-1474244, REACTOME:R-HSA-1566948, REACTOME:R-HSA-1566977, REACTOME:R-HSA-162582, REACTOME:R-HSA-1643685, REACTOME:R-HSA-168256, REACTOME:R-HSA-202733, REACTOME:R-HSA-2129379, REACTOME:R-HSA-216083, REACTOME:R-HSA-3000170, REACTOME:R-HSA-3000171, REACTOME:R-HSA-3000178, REACTOME:R-HSA-354192, REACTOME:R-HSA-354194, REACTOME:R-HSA-372708, REACTOME:R-HSA-372790, REACTOME:R-HSA-381426, REACTOME:R-HSA-388396, REACTOME:R-HSA-392499, REACTOME:R-HSA-418555, REACTOME:R-HSA-449147, REACTOME:R-HSA-5663202, REACTOME:R-HSA-5663205, REACTOME:R-HSA-5673001, REACTOME:R-HSA-5674135, REACTOME:R-HSA-5683057, REACTOME:R-HSA-5684996, REACTOME:R-HSA-597592, REACTOME:R-HSA-6785807, REACTOME:R-HSA-6802946, REACTOME:R-HSA-6802948, REACTOME:R-HSA-6802949, REACTOME:R-HSA-6802952, REACTOME:R-HSA-6802955, REACTOME:R-HSA-6802957, REACTOME:R-HSA-6806834, REACTOME:R-HSA-76002, REACTOME:R-HSA-76005, REACTOME:R-HSA-76009, REACTOME:R-HSA-8874081, REACTOME:R-HSA-8875878, REACTOME:R-HSA-8953897, REACTOME:R-HSA-8957275, REACTOME:R-HSA-9006934, REACTOME:R-HSA-9634597, REACTOME:R-HSA-9638630, REACTOME:R-HSA-9640148, REACTOME:R-HSA-9649948, REACTOME:R-HSA-9656223, REACTOME:R-HSA-9700206, REACTOME:R-HSA-9700645, REACTOME:R-HSA-9725370, REACTOME:R-HSA-9734767, REACTOME:R-HSA-9820448, REACTOME:R-HSA-9824439, REACTOME:R-HSA-9855142, REACTOME:R-HSA-9860927, REACTOME:R-HSA-9860931, REACTOME:R-HSA-9925563, REACTOME:R-HSA-9931953                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | Angiogenesis_Vascular_Hemostasis, Other_Mixed_or_Generic, Cytokine_JAK_STAT_Signaling, ECM_Remodeling_Adhesion, Metabolism, Oncogenic_GrowthFactor_Signaling                                                                | Hemostasis, Platelet degranulation, Developmental Biology                                                                                           |
| SPP1   | ECM Remodeling & Invasion            | REACTOME:R-HSA-1474228, REACTOME:R-HSA-1474244, REACTOME:R-HSA-162582, REACTOME:R-HSA-186797, REACTOME:R-HSA-212436, REACTOME:R-HSA-216083, REACTOME:R-HSA-381426, REACTOME:R-HSA-392499, REACTOME:R-HSA-597592, REACTOME:R-HSA-73857, REACTOME:R-HSA-74160, REACTOME:R-HSA-8878159, REACTOME:R-HSA-8949275, REACTOME:R-HSA-8953897, REACTOME:R-HSA-8957275, REACTOME:R-HSA-9006934, REACTOME:R-HSA-9855142, REACTOME:R-HSA-9856532                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | ECM_Remodeling_Adhesion, Other_Mixed_or_Generic, Oncogenic_GrowthFactor_Signaling, Metabolism                                                                                                                               | Degradation of the extracellular matrix, Extracellular matrix organization, Signal Transduction                                                     |
| GPNMB  | ECM Remodeling & Invasion            | REACTOME:R-HSA-162582, REACTOME:R-HSA-8848021, REACTOME:R-HSA-8857538, REACTOME:R-HSA-9006927                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | Other_Mixed_or_Generic                                                                                                                                                                                                      | Signal Transduction, Signaling by PTK6, PTK6 promotes HIF1A stabilization                                                                           |
| FLOT1  | ECM Remodeling & Invasion            | REACTOME:R-HSA-112316, REACTOME:R-HSA-162582, REACTOME:R-HSA-194315, REACTOME:R-HSA-5213460, REACTOME:R-HSA-5218859, REACTOME:R-HSA-5357801, REACTOME:R-HSA-5675482, REACTOME:R-HSA-6794362, REACTOME:R-HSA-8849932, REACTOME:R-HSA-8980692, REACTOME:R-HSA-9012999, REACTOME:R-HSA-9013026, REACTOME:R-HSA-9013106, REACTOME:R-HSA-9716542                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | Other_Mixed_or_Generic, Apoptosis_Survival, ECM_Remodeling_Adhesion                                                                                                                                                         | Neuronal System, Signal Transduction, Signaling by Rho GTPases                                                                                      |
| CD44   | Tumour Adhesion & Migration          | REACTOME:R-HSA-109582, REACTOME:R-HSA-1280215, REACTOME:R-HSA-1430728, REACTOME:R-HSA-1474228, REACTOME:R-HSA-1474244, REACTOME:R-HSA-1630316, REACTOME:R-HSA-168249, REACTOME:R-HSA-168256, REACTOME:R-HSA-202733, REACTOME:R-HSA-2142845, REACTOME:R-HSA-216083, REACTOME:R-HSA-2160916, REACTOME:R-HSA-428359, REACTOME:R-HSA-6798695, REACTOME:R-HSA-71387, REACTOME:R-HSA-877300, REACTOME:R-HSA-8953854, REACTOME:R-HSA-913531                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | Angiogenesis_Vascular_Hemostasis, Cytokine_JAK_STAT_Signaling, Metabolism, ECM_Remodeling_Adhesion, Innate_Immunity_Myeloid_Phagocyte, Other_Mixed_or_Generic                                                               | Hemostasis, Cytokine Signaling in Immune system, Metabolism                                                                                         |
| ITGAM  | Tumour Adhesion & Migration          | REACTOME:R-HSA-109582, REACTOME:R-HSA-1280215, REACTOME:R-HSA-1474244, REACTOME:R-HSA-166016, REACTOME:R-HSA-168249, REACTOME:R-HSA-168256, REACTOME:R-HSA-168898, REACTOME:R-HSA-202733, REACTOME:R-HSA-216083, REACTOME:R-HSA-449147, REACTOME:R-HSA-6785807, REACTOME:R-HSA-6798695                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | Angiogenesis_Vascular_Hemostasis, Cytokine_JAK_STAT_Signaling, ECM_Remodeling_Adhesion, Innate_Immunity_Myeloid_Phagocyte, Other_Mixed_or_Generic                                                                           | Hemostasis, Cytokine Signaling in Immune system, Extracellular matrix organization                                                                  |
| ALCAM  | Tumour Adhesion & Migration          | REACTOME:R-HSA-1266738, REACTOME:R-HSA-373760, REACTOME:R-HSA-422475, REACTOME:R-HSA-9675108                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Other_Mixed_or_Generic                                                                                                                                                                                                      | Developmental Biology, L1CAM interactions, Axon guidance                                                                                            |
| LGALS3 | Tumour Adhesion & Migration          | REACTOME:R-HSA-168249, REACTOME:R-HSA-168256, REACTOME:R-HSA-212436, REACTOME:R-HSA-6798695, REACTOME:R-HSA-73857, REACTOME:R-HSA-74160, REACTOME:R-HSA-879415, REACTOME:R-HSA-8878166, REACTOME:R-HSA-8878171, REACTOME:R-HSA-8939246, REACTOME:R-HSA-8941333                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | Innate_Immunity_Myeloid_Phagocyte, Other_Mixed_or_Generic                                                                                                                                                                   | Innate Immune System, Immune System, Generic Transcription Pathway                                                                                  |
| ACTB   | Cytoskeletal Dynamics                | REACTOME:R-HSA-109582, REACTOME:R-HSA-1169410, REACTOME:R-HSA-1266738, REACTOME:R-HSA-1280215, REACTOME:R-HSA-1445148, REACTOME:R-HSA-1474244, REACTOME:R-HSA-1500931, REACTOME:R-HSA-157858, REACTOME:R-HSA-162582, REACTOME:R-HSA-1643685, REACTOME:R-HSA-168249, REACTOME:R-HSA-168256, REACTOME:R-HSA-190828, REACTOME:R-HSA-190873, REACTOME:R-HSA-194138, REACTOME:R-HSA-194315, REACTOME:R-HSA-195258, REACTOME:R-HSA-196025, REACTOME:R-HSA-199991, REACTOME:R-HSA-2029480, REACTOME:R-HSA-2029482, REACTOME:R-HSA-212165, REACTOME:R-HSA-2682334, REACTOME:R-HSA-3000171, REACTOME:R-HSA-3214847, REACTOME:R-HSA-3247509, REACTOME:R-HSA-373760, REACTOME:R-HSA-389957, REACTOME:R-HSA-389958, REACTOME:R-HSA-390450, REACTOME:R-HSA-390466, REACTOME:R-HSA-391251, REACTOME:R-HSA-392499, REACTOME:R-HSA-3928662, REACTOME:R-HSA-3928665, REACTOME:R-HSA-418990, REACTOME:R-HSA-421270, REACTOME:R-HSA-422475, REACTOME:R-HSA-428359, REACTOME:R-HSA-437239, REACTOME:R-HSA-4420097, REACTOME:R-HSA-445095, REACTOME:R-HSA-446353, REACTOME:R-HSA-446728, REACTOME:R-HSA-4839726, REACTOME:R-HSA-5250913, REACTOME:R-HSA-5250924, REACTOME:R-HSA-5626467, REACTOME:R-HSA-5653656, REACTOME:R-HSA-5663202, REACTOME:R-HSA-5663205, REACTOME:R-HSA-5663213, REACTOME:R-HSA-5663220, REACTOME:R-HSA-5673001, REACTOME:R-HSA-5674135, REACTOME:R-HSA-5683057, REACTOME:R-HSA-5684996, REACTOME:R-HSA-5688426, REACTOME:R-HSA-5689603, REACTOME:R-HSA-5696394, REACTOME:R-HSA-5696398, REACTOME:R-HSA-5696399, REACTOME:R-HSA-597592, REACTOME:R-HSA-6802946, REACTOME:R-HSA-6802948, REACTOME:R-HSA-6802949, REACTOME:R-HSA-6802952, REACTOME:R-HSA-6802955, REACTOME:R-HSA-6802957, REACTOME:R-HSA-73894, REACTOME:R-HSA-74160, REACTOME:R-HSA-8856828, REACTOME:R-HSA-8953854, REACTOME:R-HSA-9006934, REACTOME:R-HSA-9012999, REACTOME:R-HSA-9035034, REACTOME:R-HSA-913531, REACTOME:R-HSA-9649948, REACTOME:R-HSA-9656223, REACTOME:R-HSA-9658195, REACTOME:R-HSA-9659379, REACTOME:R-HSA-9662360, REACTOME:R-HSA-9662361, REACTOME:R-HSA-9664407, REACTOME:R-HSA-9664417, REACTOME:R-HSA-9664422, REACTOME:R-HSA-9675108, REACTOME:R-HSA-9709957, REACTOME:R-HSA-9716542, REACTOME:R-HSA-9730414, REACTOME:R-HSA-9759476, REACTOME:R-HSA-9764265, REACTOME:R-HSA-9764274, REACTOME:R-HSA-9764561, REACTOME:R-HSA-9824443, REACTOME:R-HSA-9824585, REACTOME:R-HSA-983231, REACTOME:R-HSA-9842860, REACTOME:R-HSA-9845323, REACTOME:R-HSA-9856651, REACTOME:R-HSA-9913351, REACTOME:R-HSA-9932444, REACTOME:R-HSA-9932451, REACTOME:R-HSA-9933937, REACTOME:R-HSA-9933939, REACTOME:R-HSA-9933946, REACTOME:R-HSA-9933947, REACTOME:R-HSA-9934037, REACTOME:R-HSA-9953170 | Angiogenesis_Vascular_Hemostasis, Cytokine_JAK_STAT_Signaling, Other_Mixed_or_Generic, ECM_Remodeling_Adhesion, Innate_Immunity_Myeloid_Phagocyte, Metabolism, Cell_Cycle_DNA_Replication, Oncogenic_GrowthFactor_Signaling | Hemostasis, Antimicrobial mechanism of IFN-stimulated genes, Developmental Biology                                                                  |
